position,CI_2.5,median,CI_97.5,bed,name,core
32.19999999999999,49.9051641442088,49.96721483377909,50.06779402690236,I,top_m,BF1
42.69999999999999,49.950219264923405,50.04130046229915,50.12866624888361,I,base_m,BF1
94.5,50.347983561476646,50.419707879598654,50.58108859280074,H,top_m,BF1
96.79999999999998,50.356790283236826,50.43552873201162,50.611287458210505,H,base_m,BF1
108.7,50.389393684595284,50.5138719396232,50.712923598903416,G2,top_m,BF1
114.1,50.404620217833724,50.54840236967544,50.74708694143347,G2,base_m,BF1
115.6,50.40935120536166,50.55758615367209,50.753144497260465,G1,top_m,BF1
118,50.41657821571102,50.5733091931846,50.76663452779808,G1,base_m,BF1
134.5,50.4833191467683,50.68210845724621,50.828920848585085,F,top_m,BF1
140.5,50.51848859978905,50.72166383407722,50.846896899528005,F,base_m,BF1
149.6,50.59270501262883,50.780891298501224,50.87319048755601,E2,top_m,BF1
153.29999999999998,50.63364131934369,50.80571950770942,50.88500994578447,E2,base_m,BF1
153.6,50.63791300698422,50.80790219482089,50.886073012458155,E1,top_m,BF1
157.29999999999998,50.70623976892377,50.83537128863483,50.90223491006544,E1,base_m,BF1
164.7,50.83722210475996,50.90697670382723,51.03443394020352,D3,top_m,BF1
170.2,50.85919171557512,50.94275124775535,51.07709567187915,D3,base_m,BF1
170.7,50.860813172540134,50.94563848085064,51.080538698379975,D2,top_m,BF1
184.8,50.90951861604641,51.038886783409666,51.140198188851976,D2,base_m,BF1
187,50.92072463736564,51.05343143272418,51.14700222326362,D1,top_m,BF1
187.3,50.92325436494862,51.05558387713207,51.147998293173146,D1,base_m,BF1
197.1,50.99423012025285,51.12034477012766,51.18231183870483,C,top_m,BF1
200.1,51.04831008916397,51.143450174660074,51.19624634685875,C,base_m,BF1
218.7,51.15151065985265,51.21597414408934,51.285124370816284,B,top_m,BF1
226.5,51.16876882206151,51.2366583634352,51.30207905920641,B,base_m,BF1
238.3,51.20228146647946,51.268744324647855,51.3273867946916,A2,top_m,BF1
243.7,51.229944621156704,51.28906894614434,51.346544646558584,A2,base_m,BF1
244.9,51.24194823190139,51.29902818634955,51.3610803649191,A1,top_m,BF1
247,51.25395662025186,51.31261676489444,51.3857361292827,A1,base_m,BF1
31.50000000000003,49.927871121533336,50.002103907141525,50.10090531269167,I,top_m,WM1
