core,mid_m,member_top,oilgpt
BF1,0.07620000000000005,-0,3.2
BF1,0.4267200000000173,-0,0.4
BF1,0.9448800000000119,-0,0.4
BF1,1.3411199999999894,-0,1.2
BF1,1.6459199999999896,-0,2.1
BF1,1.9964400000000069,-0,6.5
BF1,2.4688799999999844,-0,22.2
BF1,2.9260799999999847,-0,11.9
BF1,3.2613599999999963,-0,1
BF1,3.627119999999991,-0,2.7
BF1,4.008119999999991,-0,6.9
BF1,4.328159999999997,-0,6.1
BF1,4.632959999999997,-0,6.7
BF1,4.937759999999997,-0,3.9
BF1,5.2425599999999974,-0,3.7
BF1,5.669279999999986,-0,1.8
BF1,6.035040000000009,-0,0.3
BF1,6.309359999999998,-0,2.2
BF1,6.659879999999987,-0,1.9
BF1,6.9951599999999985,-0,2
BF1,7.315200000000004,-0,2.2
BF1,7.6200000000000045,-0,1.9
BF1,7.955279999999988,-0,4.6
BF1,8.29056,-0,7.9
BF1,8.59536,-0,7.7
BF1,8.90016,-0,9.7
BF1,9.20496,-0,8.5
BF1,9.540240000000011,-0,7.4
BF1,9.936479999999989,-0,14.6
BF1,10.302240000000012,-0,20.7
BF1,10.607040000000012,-0,17
BF1,10.911840000000012,-0,11.2
BF1,11.277600000000007,-0,7
BF1,11.719560000000001,-0,6.1
BF1,12.14627999999999,-0,17.5
BF1,12.52727999999999,-0,21.4
BF1,12.893040000000013,-0,12.9
BF1,13.243560000000002,-0,2
BF1,13.563600000000008,-0,3.8
BF1,13.868400000000008,-0,3
BF1,14.203679999999991,-0,4.4
BF1,14.615160000000003,-0,5.8
BF1,14.996160000000003,-0,16.6
BF1,15.300960000000003,-0,27.3
BF1,15.605760000000004,-0,25.3
BF1,15.910560000000004,-0,21.5
BF1,16.215360000000004,-0,14.2
BF1,16.53540000000001,-0,7.4
BF1,16.885920000000027,-0,10.6
BF1,17.236440000000016,-0,11.4
BF1,17.57172,-0,5.2
BF1,17.90700000000001,-0,2.9
BF1,18.242279999999994,-0,4.5
BF1,18.56232,-0,4.3
BF1,18.86712,-0,6.5
BF1,19.24812,-0,16.1
BF1,19.613879999999995,-0,5.1
BF1,19.872960000000006,-0,3.7
BF1,20.13203999999999,-0,3.1
BF1,20.406360000000006,-0,4.6
BF1,20.680680000000024,-0,7.3
BF1,21.061680000000024,-0,28.1
BF1,21.42744000000002,-0,9.7
BF1,21.701760000000007,-0,1.8
BF1,22.021799999999985,-0,1.4
BF1,22.387560000000008,-0,4.2
BF1,22.783799999999985,-0,9.5
BF1,23.18004000000002,-0,8.8
BF1,23.545799999999986,-0,3.2
BF1,23.89632000000003,-0,1.1
BF1,24.262079999999997,-0,0.2
BF1,24.59736000000001,-0,1.1
BF1,24.917399999999986,-0,1.5
BF1,25.252680000000026,-0,4
BF1,25.61844000000002,-0,16.3
BF1,25.96896000000001,-0,26.8
BF1,26.27376000000001,-0,7.4
BF1,26.593799999999987,-0,5.6
BF1,26.929080000000027,-0,5.5
BF1,27.249120000000033,-0,18.1
BF1,27.553920000000033,-0,25.4
BF1,27.858720000000034,-0,21.4
BF1,28.163520000000034,-0,6.6
BF1,28.514040000000023,-0,2.5
BF1,28.895040000000023,-0,1.6
BF1,29.26079999999999,-0,1.5
BF1,29.611320000000006,-0,11.9
BF1,29.94659999999999,-0,30.9
BF1,30.266640000000024,-0,1.4
BF1,30.601920000000007,-0,0.2
BF1,30.93719999999999,-0,0.4
BF1,31.257239999999967,-0,0.7
BF1,31.592520000000007,-0,2.1
BF1,31.912560000000013,-0,2.3
BF1,32.15639999999999,-0,34.6
BF1,32.400240000000025,-0,1e-5
BF1,32.94888000000003,-0,1e-5
BF1,33.771840000000026,-0,0.1
BF1,34.39668,-0,1e-5
BF1,34.731960000000015,-0,1e-5
BF1,34.99104000000003,-0,1e-5
BF1,35.265360000000015,-0,1e-5
BF1,35.58539999999999,-0,0.1
BF1,35.90544000000003,-0,1e-5
BF1,36.68268000000003,-0,1e-5
BF1,37.93236000000002,-0,1e-5
BF1,38.816280000000006,-0,1e-5
BF1,39.22776000000002,-0,1e-5
BF1,39.60876000000002,-0,1e-5
BF1,40.14216000000002,-0,1e-5
BF1,40.75176000000002,-0,1e-5
BF1,41.36136000000002,-0,1e-5
BF1,41.81856000000002,-0,1e-5
BF1,42.3672,-0,1e-5
BF1,43.14444,-0,0.6
BF1,43.67784,-0,6
BF1,44.0436,-0,25.6
BF1,44.40936000000002,-0,8.8
BF1,44.775120000000015,-0,1.8
BF1,45.201839999999976,-0,0.3
BF1,45.582839999999976,-0,1.1
BF1,45.97908000000001,-0,1.9
BF1,46.49723999999998,-0,3.8
BF1,47.076359999999994,-0,9.8
BF1,47.4726,-0,4.7
BF1,47.65548000000001,-0,1e-5
BF1,48.006,-0,1.3
BF1,48.56988000000004,-0,0.6
BF1,49.16424000000001,-0,0.8
BF1,49.6824,-0,2.6
BF1,50.07864000000001,-0,33
BF1,50.4444,-0,36.4
BF1,50.70348000000001,-0,11.3
BF1,50.962559999999996,-0,1.2
BF1,51.29784000000001,-0,0.1
BF1,51.61788000000004,-0,0.2
BF1,51.95316,-0,0.6
BF1,52.2732,-0,1.5
BF1,52.6542,-0,13.5
BF1,53.12663999999998,-0,3.9
BF1,53.599080000000015,-0,0.6
BF1,53.93436,-0,0
BF1,54.132480000000044,-0,1.7
BF1,54.42204000000001,-0,1.3
BF1,54.81827999999999,-0,7.1
BF1,55.19927999999999,-0,9.1
BF1,55.50407999999999,-0,0.4
BF1,55.86983999999998,-0,3.6
BF1,56.18987999999999,-0,0
BF1,56.41847999999999,-0,2.2
BF1,56.72327999999999,-0,1
BF1,57.02807999999999,-0,0.8
BF1,57.34812000000002,-0,1.1
BF1,57.66816,-0,2
BF1,57.97296,-0,3.2
BF1,58.27776,-0,6.6
BF1,58.58256,-0,11.6
BF1,58.93307999999999,-0,5.4
BF1,59.19216,-0,0
BF1,59.405520000000024,-0,3.1
BF1,59.80176,-0,1.9
BF1,60.22847999999999,-0,3.1
BF1,60.76187999999999,-0,2.5
BF1,61.462920000000025,-0,2.5
BF1,61.965840000000014,-0,2
BF1,62.39256,-0,2.9
BF1,62.94119999999998,-0,2.8
BF1,63.870840000000015,-0,2.5
BF1,65.21196,-0,1.7
BF1,66.05016,-0,1
BF1,66.76644000000002,-0,3
BF1,67.48272000000003,-0,4.6
BF1,67.80276,-0,6.3
BF1,68.15328,-0,6.6
BF1,68.50379999999998,-0,14.3
BF1,68.80859999999998,-0,16.8
BF1,69.09816000000001,-0,10.2
BF1,69.66204000000002,-0,2.3
BF1,70.48499999999999,-0,2.2
BF1,71.21652000000003,-0,3.5
BF1,71.74992000000003,-0,6.3
BF1,72.19188,-0,0
BF1,72.60336000000001,-0,11.6
BF1,73.22819999999999,-0,6.3
BF1,74.12736000000001,-0,7.7
BF1,74.79792000000003,-0,6.7
BF1,75.22464,-0,8.1
BF1,75.59039999999999,-0,8.5
BF1,75.92568,-0,4.6
BF1,76.42859999999999,-0,2.5
BF1,77.03819999999999,-0,1.5
BF1,77.63256000000001,-0,1.8
BF1,78.19644000000002,-0,2.5
BF1,78.65364000000002,-0,4.2
BF1,79.12608,-0,4.5
BF1,79.55279999999999,-0,12.7
BF1,79.91856000000001,-0,17.5
BF1,80.28432000000004,-0,25.9
BF1,80.60436000000001,-0,5
BF1,80.95488,-0,2.9
BF1,81.29016000000001,-0,3.4
BF1,81.59496000000001,-0,10.2
BF1,81.94548,-0,22.6
BF1,82.32648,-0,2.9
BF1,82.81416000000002,-0,1.8
BF1,83.3628,-0,3.5
BF1,83.82,-0,2.6
BF1,84.18576000000002,-0,1e-5
BF1,84.4296,-0,14
BF1,84.70392000000001,-0,29.1
BF1,85.06968,-0,3.8
BF1,85.43544000000003,-0,2.2
BF1,85.8012,-0,2.4
BF1,86.13648,-0,2.3
BF1,86.44128,-0,1.1
BF1,86.868,-0,1e-5
BF1,87.41664000000003,-0,1e-5
BF1,87.84336000000002,-0,15.4
BF1,88.14816000000002,-0,29.9
BF1,88.45296000000002,-0,28.3
BF1,88.75776000000002,-0,27.2
BF1,89.06256000000002,-0,6.7
BF1,89.36736000000002,-0,5.6
